mode,benchmark,simSeconds
ghost_ghost_4kB,perlbench,0.201457
ghost_ghost_2kB,perlbench,0.201429
ghost_ghost_1kB,perlbench,0.201418
ghost_ghost_512B,perlbench,0.201616
ghost_ghost_256B,perlbench,0.202490
ghost_ghost_128B,perlbench,0.206018
ghost_ghost_4kB,gcc,0.294253
ghost_ghost_2kB,gcc,0.294298
ghost_ghost_1kB,gcc,0.294206
ghost_ghost_512B,gcc,0.294526
ghost_ghost_256B,gcc,0.295798
ghost_ghost_128B,gcc,0.300256
ghost_ghost_4kB,mcf,0.126861
ghost_ghost_2kB,mcf,0.126867
ghost_ghost_1kB,mcf,0.126859
ghost_ghost_512B,mcf,0.126882
ghost_ghost_256B,mcf,0.126862
ghost_ghost_128B,mcf,0.119633
ghost_ghost_4kB,xalancbmk,0.240891
ghost_ghost_2kB,xalancbmk,0.240262
ghost_ghost_1kB,xalancbmk,0.241036
ghost_ghost_512B,xalancbmk,0.240208
ghost_ghost_256B,xalancbmk,0.241240
ghost_ghost_128B,xalancbmk,0.244024
ghost_ghost_4kB,leela,0.094191
ghost_ghost_2kB,leela,0.094191
ghost_ghost_1kB,leela,0.094191
ghost_ghost_512B,leela,0.094191
ghost_ghost_256B,leela,0.094193
ghost_ghost_128B,leela,0.094191
ghost_ghost_4kB,exchange2,0.098934
ghost_ghost_2kB,exchange2,0.098783
ghost_ghost_1kB,exchange2,0.098890
ghost_ghost_512B,exchange2,0.099121
ghost_ghost_256B,exchange2,0.098874
ghost_ghost_128B,exchange2,0.098942
ghost_ghost_4kB,imagick,0.104167
ghost_ghost_2kB,imagick,0.104167
ghost_ghost_1kB,imagick,0.104167
ghost_ghost_512B,imagick,0.104167
ghost_ghost_256B,imagick,0.104159
ghost_ghost_128B,imagick,0.104152
ghost_ghost_4kB,nab,0.120349
ghost_ghost_2kB,nab,0.120338
ghost_ghost_1kB,nab,0.120349
ghost_ghost_512B,nab,0.120356
ghost_ghost_256B,nab,0.118427
ghost_ghost_128B,nab,0.115960