mode,benchmark,ip,simseconds,mpki_l1,mpki_l2,l1_latency,l2_latency,l2_replacement
mirage_mirage_100,gcc,.723686,0.346534,.950,16.433,49255.181017,107041.122590,401310
mirage_mirage_125,gcc,.723816,0.346472,.947,16.431,49260.426719,107064.738272,4221
mirage_mirage_150,gcc,.723785,0.346487,.947,16.430,49238.322807,107119.652391,0
mirage_mirage,gcc,.281967,0.017733,4.402,4.798,81800.750313,92586.013446,0
mirage_mirage_100,mcf,2.078206,0.120644,.832,2.835,85266.578531,107335.056403,285970
mirage_mirage_125,mcf,2.078022,0.120655,.831,2.834,85251.539152,107339.501853,3049
mirage_mirage_150,mcf,2.077842,0.120665,.831,2.835,85301.620758,107378.062915,0
mirage_mirage,mcf,2.077842,0.120665,.831,2.835,85301.620758,107378.062915,0
mirage_mirage_100,xalancbmk,.918064,0.274542,.314,58.109,18451.154569,109319.192421,28941
mirage_mirage_125,xalancbmk,.918028,0.274552,.313,58.109,18455.699140,109606.538295,25
mirage_mirage_150,xalancbmk,.918012,0.274557,.313,58.110,18458.147501,109679.495111,0
mirage_mirage,xalancbmk,.918012,0.274557,.313,58.110,18458.147501,109679.495111,0
mirage_mirage_100,deepsjeng,.214773,1.164021,.006,249.651,37009.617373,101439.163498,124670008
mirage_mirage_125,deepsjeng,.214781,1.163976,.006,249.651,37008.187975,101448.800468,1403650
mirage_mirage_150,deepsjeng,.214773,1.164019,.006,249.651,37009.558103,101673.003802,0
mirage_mirage,deepsjeng,.055209,0.090890,.309,230.111,35065.568299,92394.252502,0
mirage_mirage_100,leela,2.654089,0.094327,.013,.189,40113.846151,95159.720086,0
mirage_mirage_125,leela,2.654089,0.094327,.013,.189,40113.846151,95159.720086,0
mirage_mirage_150,leela,2.654089,0.094327,.013,.189,40113.846151,95159.720086,0
mirage_mirage,leela,2.654089,0.094327,.013,.189,40113.846151,95159.720086,0
mirage_mirage_100,exchange2,2.538647,0.098807,.011,.018,88966.509079,98125.943905,0
mirage_mirage_125,exchange2,2.538647,0.098807,.011,.018,88966.509079,98125.943905,0
mirage_mirage_150,exchange2,2.538647,0.098807,.011,.018,88966.509079,98125.943905,0
mirage_mirage,exchange2,2.538647,0.098807,.011,.018,88966.509079,98125.943905,0
mirage_mirage_100,bwaves,.068092,3.671616,192.144,1187.528,98431.871233,130783.395354,96621078
mirage_mirage_125,bwaves,.068347,3.657909,192.149,1187.916,98027.330183,130285.737184,1085072
mirage_mirage_150,bwaves,.068346,3.657943,192.149,1187.918,98032.565156,130289.717972,0
mirage_mirage,bwaves,.068346,3.657943,192.149,1187.918,98032.565156,130289.717972,0
mirage_mirage_100,lbm,.075761,3.300210,116.314,855.971,157114.488801,185215.317986,58265836
mirage_mirage_125,lbm,.075855,3.296101,116.313,855.971,156893.676835,184958.626173,745255
mirage_mirage_150,lbm,.075858,3.295980,116.313,855.971,156884.842861,184948.766930,0
mirage_mirage,lbm,.075858,3.295980,116.313,855.971,156884.842861,184948.766930,0
mirage_mirage_100,imagick,1.940712,0.129499,.672,2.116,89728.061545,90432.287486,207487
mirage_mirage_125,imagick,1.940607,0.129506,.672,2.116,89745.911836,90448.694701,1912
mirage_mirage_150,imagick,1.940572,0.129508,.672,2.116,89751.039460,90454.471274,0
mirage_mirage,imagick,1.940572,0.129508,.672,2.116,89751.039460,90454.471274,0
mirage_mirage_100,nab,2.012835,0.125184,.476,3.302,108183.238625,132565.664922,107640
mirage_mirage_125,nab,2.013086,0.125168,.476,3.302,108049.567046,132409.680169,790
mirage_mirage_150,nab,2.012960,0.125176,.476,3.302,108153.969010,132534.198712,0
mirage_mirage,nab,2.012960,0.125176,.476,3.302,108153.969010,132534.198712,0
mirage_mirage_100,roms,.364963,0.687181,31.119,199.651,72860.840777,122271.967388,15493153
mirage_mirage_125,roms,.366677,0.683969,31.119,199.513,72228.808408,121579.938159,174120
mirage_mirage_150,roms,.366684,0.683955,31.119,199.520,72278.428789,121576.659304,0
mirage_mirage,roms,.366684,0.683955,31.119,199.520,72278.428789,121576.659304,0